config,checkpoint,checkpoint_step,episodes,mean_reward,std_reward,mean_steps,success_rate,collision_rate,off_route_rate,stagnation_rate
configs/scenarios/unprotected_left_turn.yaml,checkpoints/runpod_4090_seed42/sac_step_95000.pt,95000,10.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0
configs/runpod_4090.yaml,checkpoints/runpod_4090_seed42/sac_step_95000.pt,95000,1.0,0.31986355781555176,0.0,299.0,0.0,0.0,0.0,0.0
