global_step,episode,episode_return,episode_length,success,collision,off_route,agents_alive_done,stagnation,timeout,terminal_reason
14313,91,-1.0,158,0,1,0,0,0,0,collision
14319,92,-1.0,6,0,0,1,0,0,0,off_route
14421,93,-1.0,102,0,1,0,0,0,0,collision
14720,94,0.0,299,0,0,0,0,0,1,timeout
15019,95,0.0,299,0,0,0,0,0,1,timeout
15031,96,-1.0,12,0,0,1,0,0,0,off_route
15204,97,-1.0,173,0,1,0,0,0,0,collision
15212,98,-1.0,8,0,0,1,0,0,0,off_route
15217,99,-1.0,5,0,1,0,0,0,0,collision
15229,100,-1.0,12,0,1,0,0,0,0,collision
15333,101,-1.0,104,0,1,0,0,0,0,collision
15367,102,-1.0,34,0,1,0,0,0,0,collision
15448,103,-1.0,81,0,1,0,0,0,0,collision
15747,104,0.0,299,0,0,0,0,0,1,timeout
15788,105,-1.0,41,0,1,0,0,0,0,collision
16087,106,0.0,299,0,0,0,0,0,1,timeout
16386,107,0.0,299,0,0,0,0,0,1,timeout
16685,108,0.0,299,0,0,0,0,0,1,timeout
16692,109,-1.0,7,0,1,0,0,0,0,collision
16876,110,-1.0,184,0,1,0,0,0,0,collision
16940,111,-1.0,64,0,1,0,0,0,0,collision
17025,112,-1.0,85,0,0,1,0,0,0,off_route
17324,113,0.0,299,0,0,0,0,0,1,timeout
17526,114,-1.0,202,0,1,0,0,0,0,collision
17825,115,0.0,299,0,0,0,0,0,1,timeout
17975,116,-1.0,150,0,1,0,0,0,0,collision
18027,117,-1.0,52,0,1,0,0,0,0,collision
18198,118,-1.0,171,0,1,0,0,0,0,collision
18285,119,-1.0,87,0,1,0,0,0,0,collision
18584,120,0.0,299,0,0,0,0,0,1,timeout
18606,121,-1.0,22,0,1,0,0,0,0,collision
18624,122,-1.0,18,0,1,0,0,0,0,collision
18923,123,0.0,299,0,0,0,0,0,1,timeout
19222,124,0.0,299,0,0,0,0,0,1,timeout
19249,125,-1.0,27,0,1,0,0,0,0,collision
19493,126,-1.0,244,0,1,0,0,0,0,collision
19788,127,-1.0,295,0,1,0,0,0,0,collision
19791,128,-1.0,3,0,1,0,0,0,0,collision
19799,129,-1.0,8,0,0,1,0,0,0,off_route
19851,130,-1.0,52,0,1,0,0,0,0,collision
19988,131,-1.0,137,0,1,0,0,0,0,collision
20287,132,0.0,299,0,0,0,0,0,1,timeout
20586,133,0.0,299,0,0,0,0,0,1,timeout
20599,134,-1.0,13,0,0,1,0,0,0,off_route
20898,135,0.0,299,0,0,0,0,0,1,timeout
21006,136,-1.0,108,0,1,0,0,0,0,collision
21072,137,-1.0,66,0,1,0,0,0,0,collision
21258,138,-1.0,186,0,1,0,0,0,0,collision
21557,139,0.0,299,0,0,0,0,0,1,timeout
21756,140,-1.0,199,0,1,0,0,0,0,collision
22055,141,0.0,299,0,0,0,0,0,1,timeout
22354,142,0.0,299,0,0,0,0,0,1,timeout
22653,143,0.0,299,0,0,0,0,0,1,timeout
22662,144,-1.0,9,0,1,0,0,0,0,collision
22678,145,-1.0,16,0,1,0,0,0,0,collision
22684,146,-1.0,6,0,0,1,0,0,0,off_route
22983,147,0.0,299,0,0,0,0,0,1,timeout
22991,148,-1.0,8,0,0,1,0,0,0,off_route
23028,149,-1.0,37,0,1,0,0,0,0,collision
23199,150,-1.0,171,0,1,0,0,0,0,collision
23220,151,-1.0,21,0,1,0,0,0,0,collision
23222,152,-1.0,2,0,1,0,0,0,0,collision
23226,153,-1.0,4,0,0,1,0,0,0,off_route
23254,154,-1.0,28,0,1,0,0,0,0,collision
23393,155,-1.0,139,0,1,0,0,0,0,collision
23567,156,-1.0,174,0,1,0,0,0,0,collision
23617,157,-1.0,50,0,1,0,0,0,0,collision
23629,158,-1.0,12,0,0,1,0,0,0,off_route
23649,159,-1.0,20,0,1,0,0,0,0,collision
23948,160,0.0,299,0,0,0,0,0,1,timeout
24088,161,-1.0,140,0,1,0,0,0,0,collision
126,1,-0.975842749288006,126,0,1,0,0,0,0,collision
236,2,-0.9909916471440372,110,0,1,0,0,0,0,collision
277,3,-0.979108138390099,41,0,1,0,0,0,0,collision
294,4,-0.9762372165446853,17,0,1,0,0,0,0,collision
298,5,-0.9140617516731496,4,0,1,0,0,0,0,collision
597,6,0.02525421216231861,299,0,0,0,0,0,1,timeout
600,7,-0.9277036662219673,3,0,1,0,0,0,0,collision
669,8,-0.9813528696989052,69,0,1,0,0,0,0,collision
712,9,-0.9861272457353474,43,0,1,0,0,0,0,collision
1011,10,0.014504328643915447,299,0,0,0,0,0,1,timeout
1014,11,-0.9304153082616817,3,0,1,0,0,0,0,collision
1016,12,-0.9256802480439017,2,0,1,0,0,0,0,collision
1017,13,-0.8919397590832763,1,0,1,0,0,0,0,collision
41,1,-0.9843008467246627,41,0,1,0,0,0,0,collision
253,2,-1.0,212,0,0,1,0,0,0,off_route
267,3,-0.9686438653228834,14,0,1,0,0,0,0,collision
389,4,-0.9941149539580131,122,0,1,0,0,0,0,collision
590,5,-1.0,201,0,0,1,0,0,0,off_route
781,6,-0.9999999999999999,191,0,0,1,0,0,0,off_route
973,7,-1.0,192,0,0,1,0,0,0,off_route
1068,8,-0.9821596192631145,95,0,1,0,0,0,0,collision
1085,9,-0.9732674719512274,17,0,1,0,0,0,0,collision
1272,10,-1.0,187,0,0,1,0,0,0,off_route
1481,11,-1.0,209,0,0,1,0,0,0,off_route
1672,12,-1.0,191,0,0,1,0,0,0,off_route
1687,13,-0.9776079069885277,15,0,1,0,0,0,0,collision
1721,14,-0.9769797752364617,34,0,1,0,0,0,0,collision
1926,15,-1.0,205,0,0,1,0,0,0,off_route
2106,16,-1.0,180,0,0,1,0,0,0,off_route
2325,17,-0.9999999999999999,219,0,0,1,0,0,0,off_route
2541,18,-1.0,216,0,0,1,0,0,0,off_route
2580,19,-0.9787579040898188,39,0,1,0,0,0,0,collision
2775,20,-1.0,195,0,0,1,0,0,0,off_route
2988,21,-0.9999999999999999,213,0,0,1,0,0,0,off_route
3210,22,-1.0,222,0,0,1,0,0,0,off_route
3408,23,-1.0,198,0,0,1,0,0,0,off_route
3576,24,-1.0,168,0,0,1,0,0,0,off_route
3784,25,-1.0,208,0,0,1,0,0,0,off_route
4008,26,-1.0,224,0,0,1,0,0,0,off_route
4205,27,-1.0,197,0,0,1,0,0,0,off_route
4231,28,-0.9796514415820923,26,0,1,0,0,0,0,collision
4451,29,-1.0,220,0,0,1,0,0,0,off_route
4639,30,-1.0,188,0,0,1,0,0,0,off_route
4660,31,-0.9744243877552442,21,0,1,0,0,0,0,collision
4866,32,-1.0,206,0,0,1,0,0,0,off_route
4899,33,-0.981772718794857,33,0,1,0,0,0,0,collision
5092,34,-1.0,193,0,0,1,0,0,0,off_route
5280,35,-1.0,188,0,0,1,0,0,0,off_route
5468,36,-1.0,188,0,0,1,0,0,0,off_route
5654,37,-0.9999999999999999,186,0,0,1,0,0,0,off_route
5685,38,-0.9737802580151885,31,0,1,0,0,0,0,collision
5877,39,-1.0,192,0,0,1,0,0,0,off_route
6072,40,-1.0,195,0,0,1,0,0,0,off_route
6085,41,-0.966470287537063,13,0,1,0,0,0,0,collision
6253,42,-1.0,168,0,0,1,0,0,0,off_route
6462,43,-1.0,209,0,0,1,0,0,0,off_route
6671,44,-1.0,209,0,0,1,0,0,0,off_route
6688,45,-0.974098624257099,17,0,1,0,0,0,0,collision
6896,46,-1.0,208,0,0,1,0,0,0,off_route
7081,47,-1.0,185,0,0,1,0,0,0,off_route
7112,48,-0.9819117003335216,31,0,1,0,0,0,0,collision
208,1,-1.2080000000000004,208,0,0,1,0,0,0,off_route
450,2,-1.242,242,0,0,1,0,0,0,off_route
630,3,-1.18,180,0,0,1,0,0,0,off_route
827,4,-1.197,197,0,0,1,0,0,0,off_route
1027,5,-1.2,200,0,0,1,0,0,0,off_route
1206,6,-1.179,179,0,0,1,0,0,0,off_route
1222,7,-0.9879473983571583,16,0,1,0,0,0,0,collision
1261,8,-1.008377034972159,39,0,1,0,0,0,0,collision
1473,9,-1.212,212,0,0,1,0,0,0,off_route
1666,10,-1.193,193,0,0,1,0,0,0,off_route
1863,11,0.8256014528096755,197,1,0,0,0,0,0,success
2050,12,-1.187,187,0,0,1,0,0,0,off_route
2266,13,-1.216,216,0,0,1,0,0,0,off_route
2477,14,-1.211,211,0,0,1,0,0,0,off_route
2660,15,-1.183,183,0,0,1,0,0,0,off_route
2851,16,-1.191,191,0,0,1,0,0,0,off_route
3038,17,-1.187,187,0,0,1,0,0,0,off_route
